Date,Right Ascension 
2032-Jun-08,22 04 08.72
2032-Jun-09,22 04 51.56
2032-Jun-10,22 05 32.25
2032-Jun-11,22 06 10.75
2032-Jun-12,22 06 47.05
2032-Jun-13,22 07 21.09
2032-Jun-14,22 07 52.84
2032-Jun-15,22 08 22.27
2032-Jun-16,22 08 49.34
2032-Jun-17,22 09 14.00
2032-Jun-18,22 09 36.23
2032-Jun-19,22 09 55.99
2032-Jun-20,22 10 13.23
2032-Jun-21,22 10 27.92
2032-Jun-22,22 10 40.01
2032-Jun-23,22 10 49.47
2032-Jun-24,22 10 56.25
2032-Jun-25,22 11 00.30
2032-Jun-26,22 11 01.57
2032-Jun-27,22 11 00.03
2032-Jun-28,22 10 55.61
2032-Jun-29,22 10 48.28
2032-Jun-30,22 10 37.98
2032-Jul-01,22 10 24.67
2032-Jul-02,22 10 08.30
2032-Jul-03,22 09 48.85
2032-Jul-04,22 09 26.27
2032-Jul-05,22 09 00.52
2032-Jul-06,22 08 31.59
2032-Jul-07,22 07 59.45
2032-Jul-08,22 07 24.07
2032-Jul-09,22 06 45.44
2032-Jul-10,22 06 03.55
2032-Jul-11,22 05 18.39
2032-Jul-12,22 04 29.96
2032-Jul-13,22 03 38.27
2032-Jul-14,22 02 43.32
2032-Jul-15,22 01 45.13
2032-Jul-16,22 00 43.72
2032-Jul-17,21 59 39.10
2032-Jul-18,21 58 31.33
2032-Jul-19,21 57 20.42
2032-Jul-20,21 56 06.43
2032-Jul-21,21 54 49.40
2032-Jul-22,21 53 29.39
2032-Jul-23,21 52 06.46
2032-Jul-24,21 50 40.68
2032-Jul-25,21 49 12.10
2032-Jul-26,21 47 40.82
2032-Jul-27,21 46 06.93
2032-Jul-28,21 44 30.52
2032-Jul-29,21 42 51.70
2032-Jul-30,21 41 10.60
2032-Jul-31,21 39 27.34
2032-Aug-01,21 37 42.07
2032-Aug-02,21 35 54.94
2032-Aug-03,21 34 06.11
2032-Aug-04,21 32 15.76
2032-Aug-05,21 30 24.05
2032-Aug-06,21 28 31.17
2032-Aug-07,21 26 37.31
2032-Aug-08,21 24 42.67
2032-Aug-09,21 22 47.45
2032-Aug-10,21 20 51.84
2032-Aug-11,21 18 56.05
2032-Aug-12,21 17 00.29
2032-Aug-13,21 15 04.75
2032-Aug-14,21 13 09.64
2032-Aug-15,21 11 15.16
2032-Aug-16,21 09 21.51
2032-Aug-17,21 07 28.87
2032-Aug-18,21 05 37.42
2032-Aug-19,21 03 47.35
2032-Aug-20,21 01 58.83
2032-Aug-21,21 00 12.01
2032-Aug-22,20 58 27.06
2032-Aug-23,20 56 44.12
2032-Aug-24,20 55 03.33
2032-Aug-25,20 53 24.84
2032-Aug-26,20 51 48.78
2032-Aug-27,20 50 15.28
2032-Aug-28,20 48 44.45
2032-Aug-29,20 47 16.42
2032-Aug-30,20 45 51.28
2032-Aug-31,20 44 29.15
2032-Sep-01,20 43 10.11
2032-Sep-02,20 41 54.23
2032-Sep-03,20 40 41.60
2032-Sep-04,20 39 32.28
2032-Sep-05,20 38 26.33
2032-Sep-06,20 37 23.78
2032-Sep-07,20 36 24.69
2032-Sep-08,20 35 29.08
2032-Sep-09,20 34 36.97
2032-Sep-10,20 33 48.37
2032-Sep-11,20 33 03.30
2032-Sep-12,20 32 21.76
2032-Sep-13,20 31 43.73
2032-Sep-14,20 31 09.20
2032-Sep-15,20 30 38.15
2032-Sep-16,20 30 10.56
2032-Sep-17,20 29 46.39
2032-Sep-18,20 29 25.61
2032-Sep-19,20 29 08.18
2032-Sep-20,20 28 54.06
2032-Sep-21,20 28 43.21
2032-Sep-22,20 28 35.59
2032-Sep-23,20 28 31.16
2032-Sep-24,20 28 29.89
2032-Sep-25,20 28 31.72
2032-Sep-26,20 28 36.62
2032-Sep-27,20 28 44.56
2032-Sep-28,20 28 55.47
2032-Sep-29,20 29 09.33
2032-Sep-30,20 29 26.09
2032-Oct-01,20 29 45.70
2032-Oct-02,20 30 08.12
2032-Oct-03,20 30 33.30
2032-Oct-04,20 31 01.19
2032-Oct-05,20 31 31.75
2032-Oct-06,20 32 04.92
2032-Oct-07,20 32 40.66
2032-Oct-08,20 33 18.91
2032-Oct-09,20 33 59.63
2032-Oct-10,20 34 42.77
2032-Oct-11,20 35 28.27
2032-Oct-12,20 36 16.08
2032-Oct-13,20 37 06.14
2032-Oct-14,20 37 58.41
2032-Oct-15,20 38 52.84
2032-Oct-16,20 39 49.37
2032-Oct-17,20 40 47.94
2032-Oct-18,20 41 48.53
2032-Oct-19,20 42 51.07
2032-Oct-20,20 43 55.52
2032-Oct-21,20 45 01.85
2032-Oct-22,20 46 10.01
2032-Oct-23,20 47 19.96
2032-Oct-24,20 48 31.68
2032-Oct-25,20 49 45.13
2032-Oct-26,20 51 00.27
2032-Oct-27,20 52 17.07
2032-Oct-28,20 53 35.49
2032-Oct-29,20 54 55.52
2032-Oct-30,20 56 17.11
2032-Oct-31,20 57 40.23
2032-Nov-01,20 59 04.86
2032-Nov-02,21 00 30.96
2032-Nov-03,21 01 58.50
2032-Nov-04,21 03 27.46
2032-Nov-05,21 04 57.81
2032-Nov-06,21 06 29.51
2032-Nov-07,21 08 02.53
2032-Nov-08,21 09 36.85
2032-Nov-09,21 11 12.44
2032-Nov-10,21 12 49.26
2032-Nov-11,21 14 27.28
2032-Nov-12,21 16 06.49
2032-Nov-13,21 17 46.84
2032-Nov-14,21 19 28.31
2032-Nov-15,21 21 10.88
2032-Nov-16,21 22 54.51
2032-Nov-17,21 24 39.20
2032-Nov-18,21 26 24.92
2032-Nov-19,21 28 11.65
2032-Nov-20,21 29 59.37
2032-Nov-21,21 31 48.06
2032-Nov-22,21 33 37.72
2032-Nov-23,21 35 28.32
2032-Nov-24,21 37 19.86
2032-Nov-25,21 39 12.32
2032-Nov-26,21 41 05.68
2032-Nov-27,21 42 59.93
2032-Nov-28,21 44 55.07
2032-Nov-29,21 46 51.07
2032-Nov-30,21 48 47.93
2032-Dec-01,21 50 45.63
2032-Dec-02,21 52 44.17
2032-Dec-03,21 54 43.53
2032-Dec-04,21 56 43.69
2032-Dec-05,21 58 44.65
2032-Dec-06,22 00 46.40
2032-Dec-07,22 02 48.91
2032-Dec-08,22 04 52.18
2032-Dec-09,22 06 56.19
2032-Dec-10,22 09 00.93
2032-Dec-11,22 11 06.39
2032-Dec-12,22 13 12.56
2032-Dec-13,22 15 19.42
2032-Dec-14,22 17 26.98
2032-Dec-15,22 19 35.21
2032-Dec-16,22 21 44.11
2032-Dec-17,22 23 53.68
2032-Dec-18,22 26 03.92
2032-Dec-19,22 28 14.82
2032-Dec-20,22 30 26.37
2032-Dec-21,22 32 38.58
2032-Dec-22,22 34 51.44
2032-Dec-23,22 37 04.95
2032-Dec-24,22 39 19.12
2032-Dec-25,22 41 33.93
2032-Dec-26,22 43 49.40
2032-Dec-27,22 46 05.52
2032-Dec-28,22 48 22.28
2032-Dec-29,22 50 39.70
2032-Dec-30,22 52 57.77
2032-Dec-31,22 55 16.49
2033-Jan-01,22 57 35.87
2033-Jan-02,22 59 55.89
2033-Jan-03,23 02 16.56
2033-Jan-04,23 04 37.88
2033-Jan-05,23 06 59.85
2033-Jan-06,23 09 22.46
2033-Jan-07,23 11 45.72
2033-Jan-08,23 14 09.62
2033-Jan-09,23 16 34.16
2033-Jan-10,23 18 59.34
2033-Jan-11,23 21 25.17
2033-Jan-12,23 23 51.64
2033-Jan-13,23 26 18.76
2033-Jan-14,23 28 46.53
2033-Jan-15,23 31 14.96
2033-Jan-16,23 33 44.06
2033-Jan-17,23 36 13.82
2033-Jan-18,23 38 44.27
2033-Jan-19,23 41 15.40
2033-Jan-20,23 43 47.22
2033-Jan-21,23 46 19.75
2033-Jan-22,23 48 52.99
2033-Jan-23,23 51 26.95
2033-Jan-24,23 54 01.63
2033-Jan-25,23 56 37.06
2033-Jan-26,23 59 13.24
2033-Jan-27,00 01 50.17
2033-Jan-28,00 04 27.87
2033-Jan-29,00 07 06.35
2033-Jan-30,00 09 45.62
2033-Jan-31,00 12 25.68
2033-Feb-01,00 15 06.55
2033-Feb-02,00 17 48.23
2033-Feb-03,00 20 30.73
2033-Feb-04,00 23 14.05
2033-Feb-05,00 25 58.21
2033-Feb-06,00 28 43.21
2033-Feb-07,00 31 29.05
2033-Feb-08,00 34 15.76
2033-Feb-09,00 37 03.33
2033-Feb-10,00 39 51.79
2033-Feb-11,00 42 41.13
2033-Feb-12,00 45 31.38
2033-Feb-13,00 48 22.55
2033-Feb-14,00 51 14.65
2033-Feb-15,00 54 07.70
2033-Feb-16,00 57 01.70
2033-Feb-17,00 59 56.68
2033-Feb-18,01 02 52.65
2033-Feb-19,01 05 49.63
2033-Feb-20,01 08 47.62
2033-Feb-21,01 11 46.66
2033-Feb-22,01 14 46.75
2033-Feb-23,01 17 47.91
2033-Feb-24,01 20 50.16
2033-Feb-25,01 23 53.51
2033-Feb-26,01 26 57.98
2033-Feb-27,01 30 03.59
2033-Feb-28,01 33 10.34
2033-Mar-01,01 36 18.26
2033-Mar-02,01 39 27.35
2033-Mar-03,01 42 37.63
2033-Mar-04,01 45 49.11
2033-Mar-05,01 49 01.80
2033-Mar-06,01 52 15.72
2033-Mar-07,01 55 30.86
2033-Mar-08,01 58 47.25
2033-Mar-09,02 02 04.89
2033-Mar-10,02 05 23.81
2033-Mar-11,02 08 44.00
2033-Mar-12,02 12 05.49
2033-Mar-13,02 15 28.28
2033-Mar-14,02 18 52.40
2033-Mar-15,02 22 17.85
2033-Mar-16,02 25 44.64
2033-Mar-17,02 29 12.79
2033-Mar-18,02 32 42.32
2033-Mar-19,02 36 13.23
2033-Mar-20,02 39 45.54
2033-Mar-21,02 43 19.25
2033-Mar-22,02 46 54.38
2033-Mar-23,02 50 30.95
2033-Mar-24,02 54 08.95
2033-Mar-25,02 57 48.41
2033-Mar-26,03 01 29.32
2033-Mar-27,03 05 11.69
2033-Mar-28,03 08 55.54
2033-Mar-29,03 12 40.86
2033-Mar-30,03 16 27.66
2033-Mar-31,03 20 15.93
2033-Apr-01,03 24 05.68
2033-Apr-02,03 27 56.90
2033-Apr-03,03 31 49.58
2033-Apr-04,03 35 43.72
2033-Apr-05,03 39 39.32
2033-Apr-06,03 43 36.35
2033-Apr-07,03 47 34.82
2033-Apr-08,03 51 34.71
2033-Apr-09,03 55 36.02
2033-Apr-10,03 59 38.73
2033-Apr-11,04 03 42.83
2033-Apr-12,04 07 48.31
2033-Apr-13,04 11 55.14
2033-Apr-14,04 16 03.33
2033-Apr-15,04 20 12.84
2033-Apr-16,04 24 23.65
2033-Apr-17,04 28 35.76
2033-Apr-18,04 32 49.14
2033-Apr-19,04 37 03.77
2033-Apr-20,04 41 19.61
2033-Apr-21,04 45 36.66
2033-Apr-22,04 49 54.87
2033-Apr-23,04 54 14.23
2033-Apr-24,04 58 34.70
2033-Apr-25,05 02 56.25
2033-Apr-26,05 07 18.85
2033-Apr-27,05 11 42.45
2033-Apr-28,05 16 07.03
2033-Apr-29,05 20 32.53
2033-Apr-30,05 24 58.91
2033-May-01,05 29 26.13
2033-May-02,05 33 54.14
2033-May-03,05 38 22.90
2033-May-04,05 42 52.34
2033-May-05,05 47 22.43
2033-May-06,05 51 53.10
2033-May-07,05 56 24.32
2033-May-08,06 00 56.02
2033-May-09,06 05 28.16
2033-May-10,06 10 00.69
2033-May-11,06 14 33.55
2033-May-12,06 19 06.69
2033-May-13,06 23 40.06
2033-May-14,06 28 13.61
2033-May-15,06 32 47.28
2033-May-16,06 37 21.04
2033-May-17,06 41 54.82
2033-May-18,06 46 28.57
2033-May-19,06 51 02.26
2033-May-20,06 55 35.82
2033-May-21,07 00 09.22
2033-May-22,07 04 42.40
2033-May-23,07 09 15.33
2033-May-24,07 13 47.94
2033-May-25,07 18 20.20
2033-May-26,07 22 52.07
2033-May-27,07 27 23.48
2033-May-28,07 31 54.41
2033-May-29,07 36 24.79
2033-May-30,07 40 54.60
2033-May-31,07 45 23.78
2033-Jun-01,07 49 52.29
2033-Jun-02,07 54 20.10
2033-Jun-03,07 58 47.15
2033-Jun-04,08 03 13.42
2033-Jun-05,08 07 38.87
2033-Jun-06,08 12 03.46
2033-Jun-07,08 16 27.16
2033-Jun-08,08 20 49.95
2033-Jun-09,08 25 11.80
2033-Jun-10,08 29 32.67
2033-Jun-11,08 33 52.55
2033-Jun-12,08 38 11.41
2033-Jun-13,08 42 29.23
2033-Jun-14,08 46 46.00
2033-Jun-15,08 51 01.71
2033-Jun-16,08 55 16.32
2033-Jun-17,08 59 29.85
2033-Jun-18,09 03 42.26
2033-Jun-19,09 07 53.57
2033-Jun-20,09 12 03.75
2033-Jun-21,09 16 12.80
2033-Jun-22,09 20 20.73
2033-Jun-23,09 24 27.51
2033-Jun-24,09 28 33.16
2033-Jun-25,09 32 37.65
2033-Jun-26,09 36 41.00
2033-Jun-27,09 40 43.20
2033-Jun-28,09 44 44.24
2033-Jun-29,09 48 44.12
2033-Jun-30,09 52 42.85
2033-Jul-01,09 56 40.42
2033-Jul-02,10 00 36.84
2033-Jul-03,10 04 32.10
2033-Jul-04,10 08 26.22
2033-Jul-05,10 12 19.19
2033-Jul-06,10 16 11.02
2033-Jul-07,10 20 01.72
2033-Jul-08,10 23 51.30
2033-Jul-09,10 27 39.75
2033-Jul-10,10 31 27.10
2033-Jul-11,10 35 13.36
2033-Jul-12,10 38 58.53
2033-Jul-13,10 42 42.63
2033-Jul-14,10 46 25.67
2033-Jul-15,10 50 07.66
2033-Jul-16,10 53 48.63
2033-Jul-17,10 57 28.59
2033-Jul-18,11 01 07.55
2033-Jul-19,11 04 45.54
2033-Jul-20,11 08 22.56
2033-Jul-21,11 11 58.64
2033-Jul-22,11 15 33.79
2033-Jul-23,11 19 08.03
2033-Jul-24,11 22 41.37
2033-Jul-25,11 26 13.82
2033-Jul-26,11 29 45.41
2033-Jul-27,11 33 16.14
2033-Jul-28,11 36 46.03
2033-Jul-29,11 40 15.09
2033-Jul-30,11 43 43.33
2033-Jul-31,11 47 10.77
2033-Aug-01,11 50 37.43
2033-Aug-02,11 54 03.31
2033-Aug-03,11 57 28.43
2033-Aug-04,12 00 52.80
2033-Aug-05,12 04 16.45
2033-Aug-06,12 07 39.37
2033-Aug-07,12 11 01.59
2033-Aug-08,12 14 23.12
2033-Aug-09,12 17 43.98
2033-Aug-10,12 21 04.18
2033-Aug-11,12 24 23.73
2033-Aug-12,12 27 42.66
2033-Aug-13,12 31 00.99
2033-Aug-14,12 34 18.72
2033-Aug-15,12 37 35.87
2033-Aug-16,12 40 52.48
2033-Aug-17,12 44 08.54
2033-Aug-18,12 47 24.08
2033-Aug-19,12 50 39.11
2033-Aug-20,12 53 53.65
2033-Aug-21,12 57 07.71
2033-Aug-22,13 00 21.30
2033-Aug-23,13 03 34.45
2033-Aug-24,13 06 47.15
2033-Aug-25,13 09 59.42
2033-Aug-26,13 13 11.28
2033-Aug-27,13 16 22.73
2033-Aug-28,13 19 33.78
2033-Aug-29,13 22 44.44
2033-Aug-30,13 25 54.73
2033-Aug-31,13 29 04.65
2033-Sep-01,13 32 14.21
2033-Sep-02,13 35 23.42
2033-Sep-03,13 38 32.29
2033-Sep-04,13 41 40.83
2033-Sep-05,13 44 49.04
2033-Sep-06,13 47 56.95
2033-Sep-07,13 51 04.54
2033-Sep-08,13 54 11.85
2033-Sep-09,13 57 18.86
2033-Sep-10,14 00 25.61
2033-Sep-11,14 03 32.09
2033-Sep-12,14 06 38.32
2033-Sep-13,14 09 44.30
2033-Sep-14,14 12 50.06
2033-Sep-15,14 15 55.60
2033-Sep-16,14 19 00.92
2033-Sep-17,14 22 06.05
2033-Sep-18,14 25 10.98
2033-Sep-19,14 28 15.72
2033-Sep-20,14 31 20.28
2033-Sep-21,14 34 24.67
2033-Sep-22,14 37 28.89
2033-Sep-23,14 40 32.94
2033-Sep-24,14 43 36.83
2033-Sep-25,14 46 40.56
2033-Sep-26,14 49 44.14
2033-Sep-27,14 52 47.57
2033-Sep-28,14 55 50.85
2033-Sep-29,14 58 53.98
2033-Sep-30,15 01 56.97
2033-Oct-01,15 04 59.81
2033-Oct-02,15 08 02.51
2033-Oct-03,15 11 05.08
2033-Oct-04,15 14 07.50
2033-Oct-05,15 17 09.79
2033-Oct-06,15 20 11.94
2033-Oct-07,15 23 13.96
2033-Oct-08,15 26 15.85
2033-Oct-09,15 29 17.61
2033-Oct-10,15 32 19.25
2033-Oct-11,15 35 20.77
2033-Oct-12,15 38 22.17
2033-Oct-13,15 41 23.46
2033-Oct-14,15 44 24.65
2033-Oct-15,15 47 25.72
2033-Oct-16,15 50 26.69
2033-Oct-17,15 53 27.56
2033-Oct-18,15 56 28.31
2033-Oct-19,15 59 28.97
2033-Oct-20,16 02 29.51
2033-Oct-21,16 05 29.95
2033-Oct-22,16 08 30.27
2033-Oct-23,16 11 30.48
2033-Oct-24,16 14 30.58
2033-Oct-25,16 17 30.55
2033-Oct-26,16 20 30.40
2033-Oct-27,16 23 30.13
2033-Oct-28,16 26 29.72
2033-Oct-29,16 29 29.18
2033-Oct-30,16 32 28.50
2033-Oct-31,16 35 27.67
2033-Nov-01,16 38 26.70
2033-Nov-02,16 41 25.57
2033-Nov-03,16 44 24.29
2033-Nov-04,16 47 22.84
2033-Nov-05,16 50 21.23
2033-Nov-06,16 53 19.46
2033-Nov-07,16 56 17.51
2033-Nov-08,16 59 15.40
2033-Nov-09,17 02 13.12
2033-Nov-10,17 05 10.66
2033-Nov-11,17 08 08.03
2033-Nov-12,17 11 05.22
2033-Nov-13,17 14 02.24
2033-Nov-14,17 16 59.07
2033-Nov-15,17 19 55.72
2033-Nov-16,17 22 52.18
2033-Nov-17,17 25 48.44
2033-Nov-18,17 28 44.51
2033-Nov-19,17 31 40.37
2033-Nov-20,17 34 36.03
2033-Nov-21,17 37 31.47
2033-Nov-22,17 40 26.68
2033-Nov-23,17 43 21.68
2033-Nov-24,17 46 16.44
2033-Nov-25,17 49 10.96
2033-Nov-26,17 52 05.23
2033-Nov-27,17 54 59.26
2033-Nov-28,17 57 53.02
2033-Nov-29,18 00 46.52
2033-Nov-30,18 03 39.75
2033-Dec-01,18 06 32.71
2033-Dec-02,18 09 25.38
2033-Dec-03,18 12 17.77
2033-Dec-04,18 15 09.86
2033-Dec-05,18 18 01.67
2033-Dec-06,18 20 53.18
2033-Dec-07,18 23 44.39
2033-Dec-08,18 26 35.30
2033-Dec-09,18 29 25.92
2033-Dec-10,18 32 16.23
2033-Dec-11,18 35 06.23
2033-Dec-12,18 37 55.93
2033-Dec-13,18 40 45.32
2033-Dec-14,18 43 34.40
2033-Dec-15,18 46 23.16
2033-Dec-16,18 49 11.59
2033-Dec-17,18 51 59.71
2033-Dec-18,18 54 47.50
2033-Dec-19,18 57 34.96
2033-Dec-20,19 00 22.09
2033-Dec-21,19 03 08.87
2033-Dec-22,19 05 55.32
2033-Dec-23,19 08 41.41
2033-Dec-24,19 11 27.16
2033-Dec-25,19 14 12.55
2033-Dec-26,19 16 57.58
2033-Dec-27,19 19 42.24
2033-Dec-28,19 22 26.54
2033-Dec-29,19 25 10.47
2033-Dec-30,19 27 54.03
2033-Dec-31,19 30 37.21
2034-Jan-01,19 33 20.02
2034-Jan-02,19 36 02.45
2034-Jan-03,19 38 44.50
2034-Jan-04,19 41 26.18
2034-Jan-05,19 44 07.49
2034-Jan-06,19 46 48.42
2034-Jan-07,19 49 28.98
2034-Jan-08,19 52 09.17
2034-Jan-09,19 54 48.99
2034-Jan-10,19 57 28.44
2034-Jan-11,20 00 07.52
2034-Jan-12,20 02 46.24
2034-Jan-13,20 05 24.59
2034-Jan-14,20 08 02.58
2034-Jan-15,20 10 40.20
2034-Jan-16,20 13 17.46
2034-Jan-17,20 15 54.35
2034-Jan-18,20 18 30.87
2034-Jan-19,20 21 07.04
2034-Jan-20,20 23 42.83
2034-Jan-21,20 26 18.27
2034-Jan-22,20 28 53.33
2034-Jan-23,20 31 28.03
2034-Jan-24,20 34 02.37
2034-Jan-25,20 36 36.34
2034-Jan-26,20 39 09.94
2034-Jan-27,20 41 43.18
2034-Jan-28,20 44 16.06
2034-Jan-29,20 46 48.58
2034-Jan-30,20 49 20.74
2034-Jan-31,20 51 52.55
2034-Feb-01,20 54 24.01
2034-Feb-02,20 56 55.13
2034-Feb-03,20 59 25.91
2034-Feb-04,21 01 56.35
2034-Feb-05,21 04 26.47
2034-Feb-06,21 06 56.25
2034-Feb-07,21 09 25.72
2034-Feb-08,21 11 54.88
2034-Feb-09,21 14 23.72
2034-Feb-10,21 16 52.26
2034-Feb-11,21 19 20.50
2034-Feb-12,21 21 48.44
2034-Feb-13,21 24 16.09
2034-Feb-14,21 26 43.44
2034-Feb-15,21 29 10.51
2034-Feb-16,21 31 37.30
2034-Feb-17,21 34 03.81
2034-Feb-18,21 36 30.05
2034-Feb-19,21 38 56.01
2034-Feb-20,21 41 21.71
2034-Feb-21,21 43 47.13
2034-Feb-22,21 46 12.30
2034-Feb-23,21 48 37.20
2034-Feb-24,21 51 01.85
2034-Feb-25,21 53 26.25
2034-Feb-26,21 55 50.40
2034-Feb-27,21 58 14.31
2034-Feb-28,22 00 37.99
2034-Mar-01,22 03 01.44
2034-Mar-02,22 05 24.67
2034-Mar-03,22 07 47.69
2034-Mar-04,22 10 10.51
2034-Mar-05,22 12 33.12
2034-Mar-06,22 14 55.55
2034-Mar-07,22 17 17.80
2034-Mar-08,22 19 39.87
2034-Mar-09,22 22 01.77
2034-Mar-10,22 24 23.52
2034-Mar-11,22 26 45.11
2034-Mar-12,22 29 06.55
2034-Mar-13,22 31 27.86
2034-Mar-14,22 33 49.03
2034-Mar-15,22 36 10.08
2034-Mar-16,22 38 31.01
2034-Mar-17,22 40 51.82
2034-Mar-18,22 43 12.53
2034-Mar-19,22 45 33.14
2034-Mar-20,22 47 53.64
2034-Mar-21,22 50 14.06
2034-Mar-22,22 52 34.39
2034-Mar-23,22 54 54.64
2034-Mar-24,22 57 14.81
2034-Mar-25,22 59 34.91
2034-Mar-26,23 01 54.95
2034-Mar-27,23 04 14.94
2034-Mar-28,23 06 34.88
2034-Mar-29,23 08 54.79
2034-Mar-30,23 11 14.67
2034-Mar-31,23 13 34.53
2034-Apr-01,23 15 54.38
2034-Apr-02,23 18 14.23
2034-Apr-03,23 20 34.10
2034-Apr-04,23 22 53.98
2034-Apr-05,23 25 13.90
2034-Apr-06,23 27 33.85
2034-Apr-07,23 29 53.85
2034-Apr-08,23 32 13.91
2034-Apr-09,23 34 34.04
2034-Apr-10,23 36 54.25
2034-Apr-11,23 39 14.54
2034-Apr-12,23 41 34.92
2034-Apr-13,23 43 55.41
2034-Apr-14,23 46 16.02
2034-Apr-15,23 48 36.74
2034-Apr-16,23 50 57.59
2034-Apr-17,23 53 18.57
2034-Apr-18,23 55 39.70
2034-Apr-19,23 58 00.98
2034-Apr-20,00 00 22.41
2034-Apr-21,00 02 44.01
2034-Apr-22,00 05 05.78
2034-Apr-23,00 07 27.74
2034-Apr-24,00 09 49.88
2034-Apr-25,00 12 12.23
2034-Apr-26,00 14 34.79
2034-Apr-27,00 16 57.57
2034-Apr-28,00 19 20.59
2034-Apr-29,00 21 43.86
2034-Apr-30,00 24 07.39
2034-May-01,00 26 31.19
2034-May-02,00 28 55.27
2034-May-03,00 31 19.64
2034-May-04,00 33 44.33
2034-May-05,00 36 09.33
2034-May-06,00 38 34.67
2034-May-07,00 41 00.35
2034-May-08,00 43 26.39
2034-May-09,00 45 52.79
2034-May-10,00 48 19.58
2034-May-11,00 50 46.75
2034-May-12,00 53 14.33
2034-May-13,00 55 42.32
2034-May-14,00 58 10.74
2034-May-15,01 00 39.58
2034-May-16,01 03 08.87
2034-May-17,01 05 38.62
2034-May-18,01 08 08.83
2034-May-19,01 10 39.50
2034-May-20,01 13 10.67
2034-May-21,01 15 42.32
2034-May-22,01 18 14.49
2034-May-23,01 20 47.17
2034-May-24,01 23 20.38
2034-May-25,01 25 54.15
2034-May-26,01 28 28.47
2034-May-27,01 31 03.36
2034-May-28,01 33 38.85
2034-May-29,01 36 14.94
2034-May-30,01 38 51.65
2034-May-31,01 41 28.99
2034-Jun-01,01 44 06.99
2034-Jun-02,01 46 45.64
2034-Jun-03,01 49 24.98
2034-Jun-04,01 52 05.02
2034-Jun-05,01 54 45.76
2034-Jun-06,01 57 27.23
2034-Jun-07,02 00 09.43
2034-Jun-08,02 02 52.40
2034-Jun-09,02 05 36.12
2034-Jun-10,02 08 20.63
2034-Jun-11,02 11 05.94
2034-Jun-12,02 13 52.05
2034-Jun-13,02 16 38.98
2034-Jun-14,02 19 26.74
2034-Jun-15,02 22 15.34
2034-Jun-16,02 25 04.80
2034-Jun-17,02 27 55.12
2034-Jun-18,02 30 46.32
2034-Jun-19,02 33 38.41
2034-Jun-20,02 36 31.40
2034-Jun-21,02 39 25.31
2034-Jun-22,02 42 20.16
2034-Jun-23,02 45 15.95
2034-Jun-24,02 48 12.71
2034-Jun-25,02 51 10.45
2034-Jun-26,02 54 09.19
2034-Jun-27,02 57 08.93
2034-Jun-28,03 00 09.71
2034-Jun-29,03 03 11.52
2034-Jun-30,03 06 14.39
2034-Jul-01,03 09 18.33
2034-Jul-02,03 12 23.36
2034-Jul-03,03 15 29.49
2034-Jul-04,03 18 36.74
2034-Jul-05,03 21 45.11
2034-Jul-06,03 24 54.63
2034-Jul-07,03 28 05.30
2034-Jul-08,03 31 17.14
2034-Jul-09,03 34 30.15
2034-Jul-10,03 37 44.35
2034-Jul-11,03 40 59.74
2034-Jul-12,03 44 16.33
2034-Jul-13,03 47 34.13
2034-Jul-14,03 50 53.14
2034-Jul-15,03 54 13.36
2034-Jul-16,03 57 34.82
2034-Jul-17,04 00 57.50
2034-Jul-18,04 04 21.42
2034-Jul-19,04 07 46.57
2034-Jul-20,04 11 12.98
2034-Jul-21,04 14 40.64
2034-Jul-22,04 18 09.56
2034-Jul-23,04 21 39.74
2034-Jul-24,04 25 11.19
2034-Jul-25,04 28 43.91
2034-Jul-26,04 32 17.91
2034-Jul-27,04 35 53.18
2034-Jul-28,04 39 29.74
2034-Jul-29,04 43 07.58
2034-Jul-30,04 46 46.71
2034-Jul-31,04 50 27.12
2034-Aug-01,04 54 08.81
2034-Aug-02,04 57 51.78
2034-Aug-03,05 01 36.02
2034-Aug-04,05 05 21.53
2034-Aug-05,05 09 08.31
2034-Aug-06,05 12 56.33
2034-Aug-07,05 16 45.60
2034-Aug-08,05 20 36.10
2034-Aug-09,05 24 27.80
2034-Aug-10,05 28 20.71
2034-Aug-11,05 32 14.79
2034-Aug-12,05 36 10.04
2034-Aug-13,05 40 06.42
2034-Aug-14,05 44 03.93
2034-Aug-15,05 48 02.54
2034-Aug-16,05 52 02.22
2034-Aug-17,05 56 02.96
2034-Aug-18,06 00 04.73
2034-Aug-19,06 04 07.51
2034-Aug-20,06 08 11.28
2034-Aug-21,06 12 16.02
2034-Aug-22,06 16 21.69
2034-Aug-23,06 20 28.27
2034-Aug-24,06 24 35.74
2034-Aug-25,06 28 44.07
2034-Aug-26,06 32 53.23
2034-Aug-27,06 37 03.19
2034-Aug-28,06 41 13.93
2034-Aug-29,06 45 25.42
2034-Aug-30,06 49 37.61
2034-Aug-31,06 53 50.50
2034-Sep-01,06 58 04.03
2034-Sep-02,07 02 18.18
2034-Sep-03,07 06 32.91
2034-Sep-04,07 10 48.18
2034-Sep-05,07 15 03.96
2034-Sep-06,07 19 20.21
2034-Sep-07,07 23 36.89
2034-Sep-08,07 27 53.95
2034-Sep-09,07 32 11.36
2034-Sep-10,07 36 29.08
2034-Sep-11,07 40 47.06
2034-Sep-12,07 45 05.27
2034-Sep-13,07 49 23.66
2034-Sep-14,07 53 42.20
2034-Sep-15,07 58 00.86
